material_code_1,description_1,material_code_2,description_2,text_similarity_score,same_unspsc_category,is_duplicate,duplicate_type
1102553733,"OIL FLTR ELEMENT,GOVERNOR CTRL",1151193733,"FUEL FILTER ELEM,25 MIC,SERVC:NAPTHA&HSD",0.0,True,False,Not-Duplicate
1102553733,"OIL FLTR ELEMENT,GOVERNOR CTRL",1151193743,"FILTER ELEMENT,6 MIC,SERVC:HSD FUEL",0.1,True,False,Not-Duplicate
1102553733,"OIL FLTR ELEMENT,GOVERNOR CTRL",1151193753,"FILT.ELEM,20MIC,SRVC:0FF BASE FUEL FILT.",0.0,True,False,Not-Duplicate
1102553733,"OIL FLTR ELEMENT,GOVERNOR CTRL",1151193783,"FILTER ELEMENT,10 MIC,MAKE: EPE",0.1,True,False,Not-Duplicate
1151193733,"FUEL FILTER ELEM,25 MIC,SERVC:NAPTHA&HSD",1151193743,"FILTER ELEMENT,6 MIC,SERVC:HSD FUEL",0.333,True,False,Not-Duplicate
1151193733,"FUEL FILTER ELEM,25 MIC,SERVC:NAPTHA&HSD",1151193753,"FILT.ELEM,20MIC,SRVC:0FF BASE FUEL FILT.",0.091,True,False,Not-Duplicate
1151193733,"FUEL FILTER ELEM,25 MIC,SERVC:NAPTHA&HSD",1151193783,"FILTER ELEMENT,10 MIC,MAKE: EPE",0.2,True,False,Not-Duplicate
1151193733,"FUEL FILTER ELEM,25 MIC,SERVC:NAPTHA&HSD",1151193803,"FILTER ELEMENT, 10 MIC,NAP, GT3,MAKE:EPE",0.167,True,False,Not-Duplicate
1151193743,"FILTER ELEMENT,6 MIC,SERVC:HSD FUEL",1151193753,"FILT.ELEM,20MIC,SRVC:0FF BASE FUEL FILT.",0.091,True,False,Not-Duplicate
1151193743,"FILTER ELEMENT,6 MIC,SERVC:HSD FUEL",1151193783,"FILTER ELEMENT,10 MIC,MAKE: EPE",0.333,True,False,Not-Duplicate
1151193743,"FILTER ELEMENT,6 MIC,SERVC:HSD FUEL",1151193803,"FILTER ELEMENT, 10 MIC,NAP, GT3,MAKE:EPE",0.273,True,False,Not-Duplicate
1151193743,"FILTER ELEMENT,6 MIC,SERVC:HSD FUEL",3399990453,"FILTER ELEMENT, EPE:2.0018 G25 A000P",0.2,True,False,Not-Duplicate
1151193753,"FILT.ELEM,20MIC,SRVC:0FF BASE FUEL FILT.",1151193783,"FILTER ELEMENT,10 MIC,MAKE: EPE",0.0,True,False,Not-Duplicate
1151193753,"FILT.ELEM,20MIC,SRVC:0FF BASE FUEL FILT.",1151193803,"FILTER ELEMENT, 10 MIC,NAP, GT3,MAKE:EPE",0.0,True,False,Not-Duplicate
1151193753,"FILT.ELEM,20MIC,SRVC:0FF BASE FUEL FILT.",3399990453,"FILTER ELEMENT, EPE:2.0018 G25 A000P",0.0,True,False,Not-Duplicate
