material_code,original_description,standardized_description,unspsc_code,unspsc_description,material_grade,size,pressure_class,make,technical_specifications_json,classification_confidence,suggested_national_code
1102553733,"OIL FLTR ELEMENT,GOVERNOR CTRL",OIL FLTR ELEMENT GOVERNOR CTRL,40161500,Filters and filtration equipment,,,,,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.8744521298589673,CNM-40161500-001
1151193733,"FUEL FILTER ELEM,25 MIC,SERVC:NAPTHA&HSD","FUEL FILTER ELEM 25 MIC,SERVC:NAPTHA&HSD",40161500,Fuel filters,,,,,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': '', 'service': 'NAPTHA&HSD'}",0.9198056342822226,CNM-40161500-002
1151193743,"FILTER ELEMENT,6 MIC,SERVC:HSD FUEL","FILTER ELEMENT 6 MIC,SERVC:HSD FUEL",40161500,Fuel filters,,,,,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.8801419099561671,CNM-40161500-003
1151193753,"FILT.ELEM,20MIC,SRVC:0FF BASE FUEL FILT.","FILT.ELEM 20MIC,SRVC:0FF BASE FUEL FILT.",40161500,Fuel filters,,,,,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.8585344357336496,CNM-40161500-004
1151193783,"FILTER ELEMENT,10 MIC,MAKE: EPE","FILTER ELEMENT 10 MIC,MAKE: EPE",40161500,Hydraulic filters,,,,EPE,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': 'EPE', 'service': 'General'}",0.8877008457998289,CNM-40161500-005
1151193803,"FILTER ELEMENT, 10 MIC,NAP, GT3,MAKE:EPE","FILTER ELEMENT 10 MIC,NAP, GT3,MAKE:EPE",40161500,Hydraulic filters,,,,EPE,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': 'EPE', 'service': 'General'}",0.8810859681000761,CNM-40161500-006
3399990453,"FILTER ELEMENT, EPE:2.0018 G25 A000P",FILTER ELEMENT EPE:2.0018 G25 A000P,40161500,Process filters,,,,,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.9734519540795646,CNM-40161500-007
3399994774,"CARTRIDGE FILTER FOR DESAL PLANT,5MICRO",CARTRIDGE FILTER FOR DESAL PLANT 5MICRO,40161500,Water filters,,,,,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.9184250953743776,CNM-40161500-008
3399995484,"CARTRIDGE+RETAINER,750MM,CPCL 14T102 A/B","CARTRIDGE+RETAINER 750MM,CPCL 14T102 A/B  750MM",40161500,Process filters,,750MM,,,"{'material': '', 'size': '750MM', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.9472174610979678,CNM-40161500-009
2810950164,"WINDOW AC EVAPORATING COIL, 192G00159",WINDOW AC EVAPORATING COIL 192G00159,41110000,Air conditioning coils,,,,,"{'material': '', 'size': '', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.883868723592069,CNM-41110000-010
